id,source,source_id,title,organization,executing_org,support_field,support_type,amount_text,summary,apply_start,apply_end,is_rolling,original_url,apply_url,eligibility,unmapped_conditions,required_documents,review_status,is_synthetic,duplicate_of,parsed_at,created_at,updated_at
seed-01,kstartup,SEED-01,초기창업패키지 (하반기),창업진흥원,,창업,사업화 자금 + 멘토링,최대 1억원,"창업 3년 이내 초기기업의 시제품 제작과 사업화를 지원합니다. 사업화 자금과 함께 주관기관의 창업 교육·멘토링을 연계 제공하며, 선정 기업은 협약 기간 동안 성과 점검을 받습니다. 신청은 온라인 접수 시스템을 통해서만 받으며 서류 심사와 대면 평가를 거쳐 선정합니다.",-20d,+12d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":36,""label"":""업력 3년 이내"",""source_text"":""신청일 기준 창업 후 3년 이내인 초기 창업기업이어야 합니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":10,""label"":""상시근로자 10인 미만"",""source_text"":""상시근로자 10인 미만 기업으로 한정합니다.""}]}",[],"[{""document_type_id"":""biz_registration_cert"",""name"":""사업자등록증명"",""source_text"":""신청 시 사업자등록증명을 제출합니다."",""is_required"":true},{""document_type_id"":""sme_confirmation"",""name"":""중소기업확인서"",""source_text"":""중소기업확인서를 제출하여야 합니다."",""is_required"":true}]",human_verified,true,,,-20d,-20d
seed-02,kstartup,SEED-02,창업도약패키지 3차,창업진흥원,,창업,사업화 자금 + 성장 멘토링,최대 3억원,"창업 3년에서 7년 사이 도약기 기업의 사업 모델 고도화와 매출 확대를 지원합니다. 사업화 자금과 분야별 전문 멘토링, 판로 개척 프로그램을 함께 제공합니다. 선정 기업은 협약 체결 후 자금을 분할 지급받으며 중간 점검과 최종 성과 평가를 받습니다. 동일 사업 기수혜 기업은 중복 지원이 제한됩니다.",-10d,+27d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""gte"",""value"":36,""label"":""업력 3년 이상"",""source_text"":""창업 후 3년이 지난 도약기 기업을 대상으로 합니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년을 초과한 기업은 신청할 수 없습니다.""}]}",[],"[{""document_type_id"":""sme_confirmation"",""name"":""중소기업확인서"",""source_text"":""중소기업확인서 사본을 제출합니다."",""is_required"":true},{""document_type_id"":""financial_statements"",""name"":""재무제표"",""source_text"":""최근 사업연도 재무제표를 제출합니다."",""is_required"":true}]",human_verified,true,,,-10d,-10d
seed-03,kstartup,SEED-03,청년창업사관학교 14기,중소벤처기업부,,창업,교육 + 사업화 자금 + 입주,최대 1억원,"만 39세 이하 청년 창업자를 선발해 입교부터 졸업까지 사업화 전 과정을 지원합니다. 교육과 코칭, 사업화 자금, 입주 공간을 한 번에 제공하는 중소벤처기업부 대표 청년 창업 사업입니다. 입교 후에는 전담 코치가 배정되어 사업 계획 수립부터 시장 검증까지 단계별로 관리합니다.",-3d,+37d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""ceo_age"",""op"":""lte"",""value"":39,""label"":""대표자 만 39세 이하"",""source_text"":""대표자가 만 39세 이하인 청년 창업자여야 합니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":36,""label"":""업력 3년 이내"",""source_text"":""창업 후 3년 이내 기업으로 한정합니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":10,""label"":""상시근로자 10인 미만"",""source_text"":""상시근로자 10인 미만 기업이어야 합니다.""}]}",[],"[{""document_type_id"":""biz_registration_cert"",""name"":""사업자등록증명"",""source_text"":""사업자등록증명을 제출합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
seed-04,bizinfo,SEED-04,혁신창업스쿨 하반기,중소기업진흥공단,,창업,교육 + 사업화 자금,"최대 5,000만원",고용 규모를 갖춘 초기 기업의 조직 운영과 성장 전략 수립을 돕는 집합 교육 과정입니다. 수료 기업에는 후속 사업화 자금 신청 자격이 부여됩니다. 교육은 주중 야간과 주말 과정으로 나누어 운영하며 전 과정 출석률이 수료 기준에 반영됩니다. 수료 후에는 동문 네트워크에 참여할 수 있습니다.,-5d,+17d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""employee_count"",""op"":""gte"",""value"":5,""label"":""상시근로자 5인 이상"",""source_text"":""상시근로자 5인 이상을 고용한 기업을 대상으로 합니다.""},{""field"":""employee_count"",""op"":""lt"",""value"":10,""label"":""상시근로자 10인 미만"",""source_text"":""상시근로자 10인 미만 기업으로 한정합니다.""},{""field"":""business_age_months"",""op"":""lte"",""value"":60,""label"":""업력 5년 이내"",""source_text"":""창업 후 5년 이내 기업이어야 합니다.""}]}",[],[],human_verified,true,,,-5d,-5d
seed-05,kstartup,SEED-05,TIPS 프로그램 4분기,중소벤처기업부,,R&D,R&D 자금 + 민간 투자 매칭,최대 5억원,"민간 운영사가 발굴하고 투자한 기술 창업기업에 정부가 연구개발 자금을 매칭 지원합니다. 운영사의 추천과 투자가 선행되어야 하며, 선정 시 최대 3년간 연구개발비를 지원받습니다. 선정 과제는 매년 연차 평가를 거쳐 계속 지원 여부가 결정되며 중단 시 잔여 예산은 회수됩니다.",-3d,+58d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 기술 창업기업이 대상입니다.""}]}","[{""text"":""TIPS 운영사의 추천 및 선투자를 받은 기업"",""reason"":""운영사 추천 여부는 프로필 항목으로 확인할 수 없습니다.""}]","[{""document_type_id"":""business_plan"",""name"":""사업계획서"",""source_text"":""기술개발 사업계획서를 제출합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
seed-06,kstartup,SEED-06,중소기업 기술개발 R&D(창업성장),중소기업기술정보진흥원,,R&D,기술개발 자금,최대 2억원,"창업 7년 이내 중소기업의 자체 기술개발 과제를 지원합니다. 개발 과제당 최대 2년간 연구개발비를 지원하며, 사업화 실적 점검을 통해 후속 과제 참여 자격이 주어집니다. 과제 수행 중 연구개발비 집행 내역을 정기적으로 보고해야 하며 목적 외 사용이 확인되면 환수 대상이 됩니다.",-40d,+7d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 중소기업이 신청할 수 있습니다.""},{""field"":""annual_revenue_krw"",""op"":""lte"",""value"":2000000000,""label"":""연매출 20억원 이하"",""source_text"":""직전 사업연도 매출액이 20억원 이하여야 합니다.""}]}",[],"[{""document_type_id"":""sme_confirmation"",""name"":""중소기업확인서"",""source_text"":""중소기업확인서를 반드시 제출해야 합니다."",""is_required"":true},{""document_type_id"":""research_institute_cert"",""name"":""기업부설연구소 인정서"",""source_text"":""보유 시 기업부설연구소 인정서를 제출합니다."",""is_required"":false}]",human_verified,true,,,-40d,-40d
seed-07,kstartup,SEED-07,수출바우처 4분기,KOTRA,,수출,해외 마케팅 바우처,"최대 5,000만원","수출 실적을 보유한 기업이 해외 마케팅 서비스를 바우처 방식으로 선택해 이용하도록 지원합니다. 통번역, 해외 인증, 전시회 참가 등 메뉴판에서 필요한 서비스를 고를 수 있습니다. 바우처는 협약 기간 내에 사용해야 하며 미사용 잔액은 자동 소멸하므로 집행 계획을 미리 세워야 합니다.",-3d,,true,,,"{""operator"":""AND"",""conditions"":[{""field"":""export_revenue_usd_prev_year"",""op"":""gte"",""value"":100000,""label"":""전년도 수출액 10만 달러 이상"",""source_text"":""직전 연도 수출 실적이 미화 10만 달러 이상이어야 합니다.""}]}",[],"[{""document_type_id"":""export_record_cert"",""name"":""수출실적증명"",""source_text"":""한국무역협회 발급 수출실적증명을 제출합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
seed-08,bizinfo,SEED-08,청년일자리도약장려금,고용노동부,,고용,인건비 지원,월 60만원×1년,취업에 어려움을 겪는 청년을 정규직으로 채용한 중소기업에 인건비를 지원합니다. 채용 후 6개월 이상 고용을 유지해야 하며 지원금은 매월 사후 지급됩니다. 지원 대상 청년의 연령과 취업 이력 요건을 함께 충족해야 하며 채용 전에 참여 신청을 완료해야 합니다. 고용 유지 실패 시 지급이 중단됩니다.,-240d,+119d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""employee_count"",""op"":""lt"",""value"":30,""label"":""상시근로자 30인 미만"",""source_text"":""상시근로자 30인 미만 우선지원대상기업이어야 합니다.""},{""field"":""hiring_planned"",""op"":""eq"",""value"":true,""label"":""청년 채용 예정"",""source_text"":""청년을 신규 채용할 계획이 있는 사업장이 대상입니다.""}]}",[],"[{""document_type_id"":""insurance_member_list"",""name"":""4대보험 가입자명부"",""source_text"":""4대보험 사업장 가입자명부를 제출합니다."",""is_required"":true}]",human_verified,true,,,-240d,-240d
seed-09,bizinfo,SEED-09,소상공인 경영개선자금 2차,소상공인시장진흥공단,,금융,정책자금 융자,"최대 7,000만원","경영 애로를 겪는 소상공인에게 운전자금을 저금리로 융자합니다. 신용도와 사업 지속성을 심사하며, 대출 실행 후 경영 개선 컨설팅을 함께 제공합니다. 융자 한도는 매출 규모와 신용 상태에 따라 조정되며 기존 정책자금 잔액이 있으면 합산해 심사합니다. 상환은 거치 후 분할 방식입니다.",-30d,+22d,false,,,"{""operator"":""AND"",""conditions"":[{""field"":""employee_count"",""op"":""lt"",""value"":5,""label"":""상시근로자 5인 미만"",""source_text"":""상시근로자 5인 미만 소상공인이 대상입니다.""},{""field"":""industry_code"",""op"":""in"",""value"":[""C"",""G"",""I""],""label"":""제조·도소매·음식숙박업"",""source_text"":""제조업, 도매 및 소매업, 숙박 및 음식점업을 영위하여야 합니다.""}]}",[],"[{""document_type_id"":""biz_registration_cert"",""name"":""사업자등록증명"",""source_text"":""사업자등록증명을 제출합니다."",""is_required"":true},{""document_type_id"":""vat_base_cert"",""name"":""부가가치세 과세표준증명"",""source_text"":""부가가치세 과세표준증명원을 제출합니다."",""is_required"":true}]",human_verified,true,,,-30d,-30d
seed-10,bizinfo,SEED-10,기술보증기금 스타트업 보증,기술보증기금,,금융,기술평가 보증,최대 30억원,기술력을 담보로 금융기관 대출에 필요한 보증서를 발급합니다. 기술평가 등급에 따라 보증 한도와 보증료율이 달라지며 연중 상시 접수합니다. 보증 신청 전에 기술평가를 받아야 하며 평가 결과에 따라 보증이 거절될 수 있습니다. 보증서 발급 후 협약 은행에서 대출을 실행합니다. 갱신 시 재평가를 받습니다.,-3d,,true,,,"{""operator"":""AND"",""conditions"":[{""field"":""business_age_months"",""op"":""lte"",""value"":84,""label"":""업력 7년 이내"",""source_text"":""창업 후 7년 이내 기술 기반 기업을 대상으로 합니다.""}]}",[],"[{""document_type_id"":""financial_statements"",""name"":""재무제표"",""source_text"":""최근 재무제표를 제출합니다."",""is_required"":true},{""document_type_id"":null,""name"":""기술사업계획서"",""source_text"":""기술사업계획서를 작성해 제출합니다."",""is_required"":true}]",human_verified,true,,,-3d,-3d
